Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Double_Sleep_Hours,Hours_Studied_x_Sleep_Hours,Previous_Scores_x_Sample_Papers,Mean,Var
5,70,1,6,9,58.0,36,30,630,22.5,1005.6666666666666
9,52,1,8,1,47.0,64,72,52,17.5,541.6666666666666
7,67,1,9,3,60.0,81,63,201,21.5,926.3333333333333
2,97,1,9,4,74.0,81,18,388,28.0,2124.6666666666665
4,59,0,8,3,42.0,64,32,177,18.5,733.6666666666666
9,72,0,8,2,68.0,64,72,144,22.75,1087.5833333333333
2,55,1,4,1,32.0,16,8,55,15.5,695.0
9,68,0,5,3,64.0,25,45,204,21.25,977.5833333333333
5,62,0,7,4,45.0,49,35,248,19.5,804.3333333333333
2,63,1,6,0,39.0,36,12,0,17.75,916.25
4,73,1,7,0,58.0,49,28,0,21.0,1210.0
7,46,0,9,5,36.0,81,63,230,16.75,382.91666666666663
8,77,1,6,4,71.0,36,48,308,23.75,1262.9166666666665
3,76,1,4,3,54.0,16,12,228,21.5,1320.3333333333333
1,43,1,7,0,17.0,49,7,0,12.75,416.25
4,73,0,4,6,54.0,16,16,438,21.75,1168.25
2,81,1,4,3,58.0,16,8,243,22.5,1521.6666666666665
8,61,0,7,2,53.0,49,56,122,19.5,772.3333333333333
4,44,1,7,6,27.0,49,28,264,15.25,368.91666666666663
2,89,1,6,1,65.0,36,12,89,24.5,1853.6666666666665
6,81,0,9,9,75.0,81,54,729,26.25,1334.25
6,62,1,9,0,52.0,81,54,0,19.25,826.25
4,93,0,8,3,78.0,64,32,279,27.0,1940.6666666666665
6,99,0,4,7,91.0,16,24,693,29.0,2179.333333333333
2,54,1,9,5,33.0,81,18,270,17.5,600.3333333333333
2,70,1,5,8,47.0,25,10,560,21.25,1062.25
4,98,0,6,0,78.0,36,24,0,27.0,2246.6666666666665
8,48,0,6,0,38.0,36,48,0,15.5,481.0
7,82,1,8,4,70.0,64,56,328,25.25,1434.25
9,97,1,8,5,98.0,64,72,485,29.75,2012.9166666666665
8,92,1,4,7,87.0,16,32,644,27.75,1837.5833333333333
5,64,1,6,2,49.0,36,30,128,19.25,892.9166666666666
2,64,1,6,5,41.0,36,12,320,19.25,892.9166666666666
5,88,0,5,2,71.0,25,25,176,25.0,1766.0
8,60,0,4,7,54.0,16,32,420,19.75,722.9166666666666
9,48,0,4,3,42.0,16,36,144,16.0,462.0
9,94,0,9,1,91.0,81,81,94,28.25,1935.5833333333333
1,87,1,8,8,61.0,64,8,696,26.0,1664.6666666666665
9,77,0,9,9,74.0,81,81,693,26.0,1156.0
7,61,1,4,7,54.0,16,28,427,19.75,758.25
9,82,1,5,5,81.0,25,45,410,25.25,1434.9166666666665
8,62,1,4,2,52.0,16,32,124,19.0,828.0
1,88,1,9,1,65.0,81,9,88,24.75,1792.25
8,43,1,7,3,36.0,49,56,129,15.25,346.91666666666663
8,68,0,7,3,61.0,49,56,204,21.5,965.6666666666666
3,54,1,5,0,35.0,25,15,0,15.5,663.0
1,40,1,8,8,15.0,64,8,320,14.25,305.5833333333333
8,93,1,6,9,88.0,36,48,837,29.0,1822.0
3,69,0,4,7,45.0,16,12,483,20.75,1037.5833333333333
3,68,1,9,6,49.0,81,27,408,21.5,967.0
1,59,1,8,5,33.0,64,8,295,18.25,746.25
5,72,1,9,2,60.0,81,45,144,22.0,1119.3333333333333
7,80,0,8,3,71.0,64,56,240,24.5,1373.6666666666665
9,83,1,4,1,81.0,16,36,83,24.25,1544.9166666666665
7,75,0,6,6,67.0,36,42,450,23.5,1179.0
9,99,0,4,1,95.0,16,36,99,28.25,2235.583333333333
8,61,1,6,9,58.0,36,48,549,21.0,712.6666666666666
2,52,0,9,0,29.0,81,18,0,15.75,598.9166666666666
1,46,0,5,5,21.0,25,5,230,14.25,451.5833333333333
7,47,1,6,3,38.0,36,42,141,15.75,436.91666666666663
7,67,1,8,7,60.0,64,56,469,22.25,890.25
8,84,1,5,0,76.0,25,40,0,24.25,1597.5833333333333
5,82,1,9,8,69.0,81,45,656,26.0,1396.6666666666665
3,48,0,7,5,30.0,49,21,240,15.75,464.91666666666663
8,64,0,5,1,57.0,25,40,64,19.5,888.3333333333333
6,95,1,6,7,81.0,36,36,665,28.5,1965.6666666666665
3,55,1,5,4,36.0,25,15,220,16.75,650.9166666666666
1,49,1,9,4,25.0,81,9,196,15.75,502.25
3,50,0,5,4,27.0,25,15,200,15.5,529.6666666666666
5,70,1,9,6,61.0,81,45,420,22.5,1005.6666666666666
3,51,0,7,6,34.0,49,21,306,16.75,524.25
1,99,0,6,9,76.0,36,6,891,28.75,2204.25
5,70,0,8,6,57.0,64,40,420,22.25,1014.9166666666666
7,53,0,5,9,45.0,25,35,477,18.5,531.6666666666666
7,90,1,4,1,76.0,16,28,90,25.5,1855.0
9,83,1,8,7,83.0,64,72,581,26.75,1406.9166666666665
3,71,1,5,0,50.0,25,15,0,19.75,1171.5833333333333
7,89,0,8,1,81.0,64,56,89,26.25,1759.5833333333333
1,92,0,4,6,66.0,16,4,552,25.75,1954.9166666666665
4,56,1,8,3,38.0,64,32,168,17.75,654.9166666666666
4,74,0,8,9,56.0,64,32,666,23.75,1126.9166666666665
5,40,0,4,9,25.0,16,20,360,14.5,293.66666666666663
7,68,0,4,8,56.0,16,28,544,21.75,953.5833333333333
7,90,1,4,8,82.0,16,28,720,27.25,1752.9166666666665
4,43,1,7,2,23.0,49,28,86,14.0,378.0
7,62,1,9,2,56.0,81,63,124,20.0,792.6666666666666
3,67,0,9,8,46.0,81,27,536,21.75,916.9166666666666
6,55,1,4,9,43.0,16,24,495,18.5,596.3333333333333
2,51,1,9,7,30.0,81,18,357,17.25,514.9166666666666
9,92,1,8,0,92.0,64,72,0,27.25,1879.5833333333333
5,60,0,4,5,45.0,16,20,300,18.5,765.6666666666666
6,84,0,5,6,70.0,25,30,504,25.25,1534.25
4,56,0,4,7,36.0,16,16,392,17.75,652.25
7,79,0,4,1,71.0,16,28,79,22.75,1412.25
9,52,0,9,0,49.0,81,81,0,17.5,547.0
7,91,1,6,3,82.0,36,42,273,26.75,1837.5833333333333
1,97,1,8,0,71.0,64,8,0,26.5,2221.6666666666665
1,71,0,9,1,43.0,81,9,71,20.5,1147.6666666666665
9,76,0,8,2,77.0,64,72,152,23.75,1222.9166666666665
9,89,1,5,3,86.0,25,45,267,26.5,1742.3333333333333
4,54,0,7,5,34.0,49,28,270,17.5,593.6666666666666
9,51,0,6,7,49.0,36,54,357,18.25,478.25
3,88,0,5,8,69.0,25,15,704,26.0,1712.6666666666665
7,96,0,5,3,84.0,25,35,288,27.75,2072.9166666666665
6,54,0,8,0,41.0,64,48,0,17.0,620.0
8,73,1,6,4,68.0,36,48,292,22.75,1124.9166666666665
9,45,1,8,4,44.0,64,72,180,16.5,365.66666666666663
5,56,0,7,8,41.0,49,35,448,19.0,610.0
1,87,0,8,5,58.0,64,8,435,25.25,1702.9166666666665
3,88,1,4,4,68.0,16,12,352,24.75,1778.25
8,96,0,8,9,94.0,64,64,864,30.25,1921.5833333333333
6,59,1,4,9,47.0,16,24,531,19.5,697.6666666666666
8,48,0,5,4,40.0,25,40,192,16.25,450.91666666666663
9,98,1,7,7,100.0,49,63,686,30.25,2040.9166666666665
4,44,1,9,0,23.0,81,36,0,14.25,406.91666666666663
1,62,0,4,4,36.0,16,4,248,17.75,872.25
1,72,0,7,0,47.0,49,7,0,20.0,1211.3333333333333
4,77,1,8,6,60.0,64,32,462,23.75,1262.9166666666665
7,95,0,9,6,83.0,81,63,570,29.25,1922.9166666666665
2,53,1,8,9,33.0,64,16,477,18.0,554.0
3,56,0,5,7,36.0,25,15,392,17.75,652.9166666666666
1,96,0,8,6,74.0,64,8,576,27.75,2078.9166666666665
5,58,0,4,8,42.0,16,20,464,18.75,687.5833333333333
1,72,1,5,7,47.0,25,5,504,21.25,1150.9166666666665
8,40,1,7,7,31.0,49,56,280,15.5,267.0
1,52,0,5,2,26.0,25,5,104,15.0,611.3333333333333
1,85,1,7,9,58.0,49,7,765,25.5,1585.0
2,66,0,6,3,42.0,36,12,198,19.25,974.25
2,45,1,4,3,18.0,16,8,135,13.5,441.66666666666663
6,98,0,4,0,85.0,16,24,0,27.0,2246.6666666666665
7,45,1,7,5,36.0,49,49,225,16.0,374.66666666666663
5,72,1,8,1,58.0,64,40,72,21.5,1141.6666666666665
1,69,1,9,8,45.0,81,9,552,21.75,1004.9166666666666
1,85,1,8,0,60.0,64,8,0,23.5,1693.6666666666665
3,74,1,6,0,56.0,36,18,0,20.75,1266.25
2,62,1,7,9,42.0,49,14,558,20.0,792.6666666666666
5,49,0,6,5,33.0,36,30,245,16.25,476.91666666666663
6,90,0,7,0,77.0,49,42,0,25.75,1844.25
7,58,1,6,2,51.0,36,42,116,18.25,706.9166666666666
4,90,0,7,9,72.0,49,28,810,27.5,1740.3333333333333
7,67,1,4,1,57.0,16,28,67,19.75,998.25
8,62,0,6,8,53.0,36,48,496,21.0,748.0
1,43,0,6,4,16.0,36,6,172,13.5,391.0
6,59,0,7,5,45.0,49,42,295,19.25,702.9166666666666
8,58,0,5,1,49.0,25,40,58,18.0,719.3333333333333
5,81,1,5,7,67.0,25,25,567,24.5,1419.6666666666665
4,66,0,4,5,49.0,16,16,330,19.75,950.9166666666666
2,96,0,8,7,73.0,64,16,672,28.25,2046.9166666666665
6,73,0,8,7,65.0,64,48,511,23.5,1089.6666666666665
6,43,1,4,0,27.0,16,24,0,13.25,399.5833333333333
1,95,0,8,6,72.0,64,8,570,27.5,2033.6666666666665
9,77,1,9,1,74.0,81,81,77,24.0,1262.6666666666665
6,46,1,9,7,38.0,81,54,322,17.0,375.3333333333333
3,87,0,9,1,67.0,81,27,87,25.0,1720.0
4,46,1,9,3,28.0,81,36,138,15.5,420.3333333333333
4,89,0,7,1,73.0,49,28,89,25.25,1812.25
3,91,0,5,6,72.0,25,15,546,26.25,1864.9166666666665
3,65,0,4,4,42.0,16,12,260,19.0,940.6666666666666
3,65,0,7,8,47.0,49,21,520,20.75,874.9166666666666
4,93,0,9,4,77.0,81,36,372,27.5,1912.3333333333333
7,58,0,4,7,49.0,16,28,406,19.0,678.0
4,48,0,5,1,30.0,25,20,48,14.5,501.66666666666663
9,59,1,8,2,54.0,64,72,118,19.5,703.0
1,81,1,7,5,56.0,49,7,405,23.5,1475.6666666666665
8,84,0,5,6,75.0,25,40,504,25.75,1509.5833333333333
7,89,0,4,9,78.0,16,28,801,27.25,1698.9166666666665
2,55,1,6,7,32.0,36,12,385,17.5,629.6666666666666
8,93,0,7,2,89.0,49,56,186,27.5,1913.6666666666665
1,56,1,4,6,29.0,16,4,336,16.75,688.9166666666666
9,61,1,4,7,57.0,16,36,427,20.25,742.25
9,52,0,5,9,48.0,25,45,468,18.75,494.91666666666663
2,51,0,4,5,27.0,16,8,255,15.5,561.6666666666666
7,49,1,7,3,38.0,49,49,147,16.5,473.0
3,40,1,9,5,18.0,81,27,200,14.25,300.91666666666663
7,71,0,7,8,66.0,49,49,568,23.25,1013.5833333333333
9,69,0,4,2,65.0,16,36,138,21.0,1032.6666666666665
4,47,1,5,1,27.0,25,20,47,14.25,479.5833333333333
1,60,1,7,4,33.0,49,7,240,18.0,790.0
2,61,1,6,6,37.0,36,12,366,18.75,796.9166666666666
1,57,0,9,2,29.0,81,9,114,17.25,714.9166666666666
5,41,0,8,4,26.0,64,40,164,14.5,315.0
5,87,0,5,3,72.0,25,25,261,25.0,1709.3333333333333
7,83,1,5,6,77.0,25,35,498,25.25,1482.9166666666665
9,48,1,8,1,45.0,64,72,48,16.5,453.66666666666663
9,42,0,8,6,41.0,64,72,252,16.25,296.25
3,93,1,7,1,73.0,49,21,93,26.0,2001.3333333333333
3,65,1,4,2,43.0,16,12,130,18.5,961.6666666666666
3,60,1,4,4,39.0,16,12,240,17.75,793.5833333333333
4,69,1,6,6,54.0,36,24,414,21.25,1014.25
8,67,1,9,5,62.0,81,72,335,22.25,892.9166666666666
6,75,0,4,6,63.0,16,24,450,22.75,1214.25
8,65,0,6,5,59.0,36,48,325,21.0,862.0
1,73,0,6,0,46.0,36,6,0,20.0,1255.3333333333333
8,47,0,5,4,42.0,25,40,188,16.0,430.0
4,49,0,5,0,30.0,25,20,0,14.5,533.6666666666666
1,87,1,9,6,63.0,81,9,522,25.75,1678.25
8,94,1,7,3,89.0,49,56,282,28.0,1940.6666666666665
4,82,1,8,4,62.0,64,32,328,24.5,1473.0
6,89,0,8,0,77.0,64,48,0,25.75,1789.5833333333333
8,93,1,9,7,88.0,81,72,651,29.25,1806.9166666666665
4,53,1,6,3,35.0,36,24,159,16.5,593.6666666666666
3,79,1,9,2,60.0,81,27,158,23.25,1390.9166666666665
9,94,0,8,0,92.0,64,72,0,27.75,1966.9166666666665
3,54,1,6,3,38.0,36,18,162,16.5,627.0
9,56,1,8,2,56.0,64,72,112,18.75,626.25
2,92,0,7,7,70.0,49,14,644,27.0,1883.3333333333333
2,57,0,5,8,35.0,25,10,456,18.0,682.0
2,71,1,5,4,47.0,25,10,284,20.5,1135.0
6,77,0,6,8,66.0,36,36,616,24.25,1237.5833333333333
3,62,1,9,0,43.0,81,27,0,18.5,855.0
9,85,0,8,6,81.0,64,72,510,27.0,1496.6666666666665
4,62,1,4,6,43.0,16,16,372,19.0,822.6666666666666
1,74,1,7,5,46.0,49,7,370,21.75,1219.5833333333333
4,78,0,8,3,61.0,64,32,234,23.25,1336.9166666666665
1,54,0,4,8,27.0,16,4,432,16.75,624.9166666666666
5,92,0,7,2,77.0,49,35,184,26.5,1911.0
4,63,0,7,0,43.0,49,28,0,18.5,888.3333333333333
8,67,1,5,1,60.0,25,40,67,20.25,979.5833333333333
8,55,0,6,2,48.0,36,48,110,17.75,622.9166666666666
7,55,1,8,1,47.0,64,56,55,17.75,626.25
3,79,1,7,5,60.0,49,21,395,23.5,1371.6666666666665
1,78,1,8,6,53.0,64,8,468,23.25,1340.9166666666665
1,45,0,7,4,19.0,49,7,180,14.25,426.25
3,41,1,9,4,23.0,81,27,164,14.25,324.91666666666663
6,93,1,5,6,81.0,25,30,558,27.5,1907.0
7,52,0,6,5,41.0,36,42,260,17.5,529.6666666666666
6,83,1,4,7,71.0,16,24,581,25.0,1496.6666666666665
6,86,1,4,8,75.0,16,24,688,26.0,1602.6666666666665
6,98,1,9,1,89.0,81,54,98,28.5,2157.6666666666665
3,48,0,5,1,28.0,25,15,48,14.25,508.91666666666663
6,73,1,7,0,60.0,49,42,0,21.5,1188.3333333333333
8,56,1,5,6,54.0,25,40,336,18.75,618.25
2,66,1,6,3,41.0,36,12,198,19.25,974.25
5,68,0,4,8,52.0,16,20,544,21.25,974.25
1,76,0,8,5,53.0,64,8,380,22.5,1280.3333333333333
1,82,0,4,6,52.0,16,4,492,23.25,1538.25
5,61,1,6,6,47.0,36,30,366,19.5,765.6666666666666
3,90,1,7,7,71.0,49,21,630,26.75,1781.5833333333333
4,63,1,5,3,42.0,25,20,189,18.75,870.9166666666666
3,46,1,4,2,21.0,16,12,92,13.75,462.91666666666663
1,73,1,4,2,48.0,16,4,146,20.0,1250.0
1,87,0,8,9,64.0,64,8,783,26.25,1652.9166666666665
5,51,1,5,7,38.0,25,25,357,17.0,514.6666666666666
6,62,1,8,2,49.0,64,48,124,19.5,809.0
3,54,0,8,7,35.0,64,24,378,18.0,580.6666666666666
9,72,0,7,1,73.0,49,63,72,22.25,1111.5833333333333
5,96,1,4,4,81.0,16,20,384,27.25,2100.9166666666665
8,52,0,9,4,47.0,81,72,208,18.25,510.91666666666663
1,62,0,5,6,36.0,25,5,372,18.5,845.6666666666666
5,77,0,7,4,63.0,49,35,308,23.25,1285.5833333333333
3,71,1,9,8,52.0,81,27,568,22.75,1041.5833333333333
1,84,0,7,2,58.0,49,7,168,23.5,1633.6666666666665
4,89,1,7,8,77.0,49,28,712,27.0,1711.3333333333333
5,74,0,6,0,58.0,36,30,0,21.25,1243.5833333333333
7,40,1,6,2,33.0,36,42,80,13.75,310.91666666666663
1,86,1,7,3,67.0,49,7,258,24.25,1700.9166666666665
3,97,1,6,5,76.0,36,18,485,27.75,2132.9166666666665
2,84,0,5,9,62.0,25,10,756,25.0,1555.3333333333333
9,44,0,4,7,37.0,16,36,308,16.0,352.66666666666663
6,96,0,9,6,86.0,81,54,576,29.25,1982.25
3,52,1,5,7,37.0,25,15,364,16.75,554.9166666666666
8,93,0,4,5,88.0,16,32,465,27.5,1909.6666666666665
8,44,0,6,5,38.0,36,48,220,15.75,356.25
2,99,1,9,5,76.0,81,18,495,28.75,2201.583333333333
6,71,0,5,2,57.0,25,30,142,21.0,1114.0
7,90,1,8,9,82.0,64,56,810,28.5,1681.6666666666665
2,60,0,7,3,35.0,49,14,180,18.0,788.6666666666666
2,63,1,4,5,41.0,16,8,315,18.5,881.6666666666666
1,99,1,4,6,75.0,16,4,594,27.5,2276.333333333333
8,57,0,8,2,51.0,64,64,114,18.75,658.25
1,60,1,8,3,34.0,64,8,180,18.0,792.6666666666666
9,93,0,7,5,92.0,49,63,465,28.5,1851.6666666666665
6,49,0,6,0,39.0,36,36,0,15.25,514.25
7,63,0,5,6,56.0,25,35,378,20.25,812.9166666666666
7,79,0,5,0,69.0,25,35,0,22.75,1414.9166666666665
3,86,1,5,9,69.0,25,15,774,25.75,1619.5833333333333
2,60,1,6,8,40.0,36,12,480,19.0,753.3333333333333
9,64,1,7,9,63.0,49,63,576,22.25,775.5833333333333
8,91,0,5,8,86.0,25,40,728,28.0,1766.0
7,99,0,4,8,89.0,16,28,792,29.5,2149.6666666666665
9,96,1,4,3,94.0,16,36,288,28.0,2062.0
4,98,1,4,1,79.0,16,16,98,26.75,2258.25
4,62,0,8,6,44.0,64,32,372,20.0,786.6666666666666
1,61,0,8,3,33.0,64,8,183,18.25,820.9166666666666
8,43,0,6,4,36.0,36,48,172,15.25,344.91666666666663
3,73,1,5,0,50.0,25,15,0,20.25,1240.9166666666665
7,95,0,8,9,94.0,64,56,855,29.75,1892.9166666666665
2,45,1,4,5,22.0,16,8,225,14.0,428.66666666666663
2,67,0,8,6,44.0,64,16,402,20.75,956.9166666666666
7,70,1,4,2,60.0,16,28,140,20.75,1082.25
6,74,0,5,9,64.0,25,30,666,23.5,1136.3333333333333
3,78,1,6,1,58.0,36,18,78,22.0,1398.0
9,81,1,7,9,78.0,49,63,729,26.5,1321.0
6,62,1,7,6,51.0,49,42,372,20.25,774.9166666666666
6,45,0,4,0,30.0,16,24,0,13.75,440.25
1,55,1,8,1,29.0,64,8,55,16.25,678.25
4,41,1,8,2,22.0,64,32,82,13.75,336.25
6,63,0,4,3,51.0,16,24,189,19.0,862.0
6,56,1,5,4,45.0,25,30,224,17.75,650.9166666666666
5,84,1,4,3,70.0,16,20,252,24.0,1600.6666666666665
1,40,0,5,9,10.0,25,5,360,13.75,316.91666666666663
8,45,1,6,2,38.0,36,48,90,15.25,399.5833333333333
5,44,0,6,0,30.0,36,30,0,13.75,413.5833333333333
5,96,1,4,6,82.0,16,20,576,27.75,2070.9166666666665
7,84,0,6,9,74.0,36,42,756,26.5,1471.0
4,99,1,8,5,87.0,64,32,495,29.0,2180.6666666666665
6,94,1,5,1,77.0,25,30,94,26.5,2029.6666666666665
4,89,1,7,1,72.0,49,28,89,25.25,1812.25
3,68,0,7,2,51.0,49,21,136,20.0,1028.6666666666665
7,51,1,6,7,40.0,36,42,357,17.75,491.5833333333333
8,78,1,5,7,72.0,25,40,546,24.5,1273.6666666666665
4,86,0,8,9,68.0,64,32,774,26.75,1564.9166666666665
2,42,0,7,9,22.0,49,14,378,15.0,332.66666666666663
3,87,0,8,9,67.0,64,24,783,26.75,1620.25
1,40,1,8,9,18.0,64,8,360,14.5,301.66666666666663
8,66,1,7,7,64.0,49,56,462,22.0,860.6666666666666
3,87,1,7,6,66.0,49,21,522,25.75,1670.25
7,63,0,6,1,50.0,36,42,63,19.25,857.5833333333333
5,83,0,5,0,68.0,25,25,0,23.25,1592.25
5,58,1,4,5,44.0,16,20,290,18.0,711.3333333333333
7,98,1,5,7,90.0,25,35,686,29.25,2101.583333333333
9,47,0,4,0,41.0,16,36,0,15.0,468.66666666666663
5,94,0,7,2,83.0,49,35,188,27.0,1999.3333333333333
1,83,0,8,0,57.0,64,8,0,23.0,1612.6666666666665
1,86,1,5,9,64.0,25,5,774,25.25,1650.9166666666665
2,41,0,8,8,18.0,64,16,328,14.75,314.25
6,69,0,5,6,62.0,25,30,414,21.5,1003.0
9,69,0,9,7,66.0,81,81,483,23.5,921.0
8,88,0,5,8,85.0,25,40,704,27.25,1642.25
5,78,1,8,2,62.0,64,40,156,23.25,1338.25
1,84,0,9,9,62.0,81,9,756,25.75,1522.25
7,71,1,6,1,62.0,36,42,71,21.25,1106.9166666666665
5,40,1,7,5,26.0,49,35,200,14.25,295.5833333333333
6,77,0,6,4,66.0,36,36,308,23.25,1284.9166666666665
7,52,0,6,3,43.0,36,42,156,17.0,547.3333333333333
3,50,1,5,5,30.0,25,15,250,15.75,522.25
3,49,0,7,5,25.0,49,21,245,16.0,486.66666666666663
5,87,1,9,2,77.0,81,45,174,25.75,1675.5833333333333
6,98,0,5,1,88.0,25,30,98,27.5,2213.6666666666665
9,65,1,4,8,62.0,16,36,520,21.5,845.6666666666666
5,95,1,5,7,82.0,25,25,665,28.0,1996.0
1,94,1,9,3,73.0,81,9,282,26.75,2021.5833333333333
4,59,0,8,5,44.0,64,32,295,19.0,714.0
5,56,1,5,2,40.0,25,25,112,17.0,678.0
5,56,1,4,7,39.0,16,20,392,18.0,643.3333333333333
7,43,0,5,2,34.0,25,35,86,14.25,371.5833333333333
4,44,0,9,1,27.0,81,36,44,14.5,397.66666666666663
1,99,1,4,6,73.0,16,4,594,27.5,2276.333333333333
5,62,1,7,2,46.0,49,35,124,19.0,826.0
7,85,0,9,8,78.0,81,63,680,27.25,1482.9166666666665
6,91,1,5,2,80.0,25,30,182,26.0,1880.6666666666665
5,49,0,4,7,33.0,16,20,343,16.25,478.25
4,85,0,9,1,68.0,81,36,85,24.75,1624.25
2,67,0,7,8,45.0,49,14,536,21.0,947.3333333333333
4,72,1,8,0,56.0,64,32,0,21.0,1166.6666666666665
3,82,0,6,2,58.0,36,18,164,23.25,1536.9166666666665
1,65,1,4,1,37.0,16,4,65,17.75,994.25
8,94,1,8,6,88.0,64,64,564,29.0,1878.6666666666665
5,89,0,7,4,75.0,49,35,356,26.25,1751.5833333333333
4,87,0,8,7,70.0,64,32,609,26.5,1629.6666666666665
8,68,0,5,1,62.0,25,40,68,20.5,1011.0
7,66,0,6,7,57.0,36,42,462,21.5,880.3333333333333
2,57,1,4,6,32.0,16,8,342,17.25,704.9166666666666
1,79,1,9,4,53.0,81,9,316,23.25,1392.25
4,99,0,7,1,82.0,49,28,99,27.75,2262.25
8,49,1,6,9,41.0,36,48,441,18.0,428.66666666666663
2,97,0,7,6,75.0,49,14,582,28.0,2120.6666666666665
3,81,1,8,9,63.0,64,24,729,25.25,1388.25
1,44,1,7,3,17.0,49,7,132,13.75,412.91666666666663
1,49,1,7,3,24.0,49,7,147,15.0,520.0
3,89,0,8,7,69.0,64,24,623,26.75,1726.9166666666665
5,60,1,8,5,47.0,64,40,300,19.5,731.0
3,63,1,6,8,43.0,36,18,504,20.0,826.0
1,77,1,4,1,48.0,16,4,77,20.75,1408.25
1,42,1,8,4,17.0,64,8,168,13.75,362.91666666666663
8,79,0,6,5,75.0,36,48,395,24.5,1321.6666666666665
2,70,1,7,7,54.0,49,14,490,21.5,1051.0
3,80,0,7,3,59.0,49,21,240,23.25,1434.9166666666665
2,76,0,9,6,56.0,81,18,456,23.25,1244.9166666666665
3,41,1,5,6,20.0,25,15,246,13.75,331.5833333333333
7,41,1,8,3,34.0,64,56,123,14.75,310.91666666666663
1,78,0,6,0,54.0,36,6,0,21.25,1438.25
8,88,0,9,2,83.0,81,72,176,26.75,1676.9166666666665
2,81,0,6,1,59.0,36,12,81,22.5,1525.6666666666665
3,83,1,4,2,63.0,16,12,166,23.0,1600.6666666666665
9,73,1,9,4,72.0,81,81,292,23.75,1083.5833333333333
7,81,0,6,0,70.0,36,42,0,23.5,1479.0
4,59,0,8,4,41.0,64,32,236,18.75,723.5833333333333
5,72,0,6,1,54.0,36,30,72,21.0,1160.6666666666665
2,43,1,5,3,21.0,25,10,129,13.25,394.91666666666663
8,84,1,7,5,83.0,49,56,420,26.0,1496.6666666666665
4,83,0,7,8,64.0,49,28,664,25.5,1472.3333333333333
9,50,1,9,9,51.0,81,81,450,19.25,420.25
5,81,0,6,5,66.0,36,30,405,24.25,1431.5833333333333
9,86,1,6,9,83.0,36,54,774,27.5,1523.0
4,44,0,6,1,26.0,36,24,44,13.75,410.91666666666663
5,64,1,6,7,49.0,36,30,448,20.5,841.6666666666666
9,88,1,5,4,85.0,25,45,352,26.5,1685.6666666666665
8,99,1,8,8,95.0,64,64,792,30.75,2070.25
3,76,1,5,9,56.0,25,15,684,23.25,1242.9166666666665
1,73,1,5,8,50.0,25,5,584,21.75,1175.5833333333333
3,48,1,5,3,23.0,25,15,144,14.75,492.25
4,45,1,7,0,26.0,49,28,0,14.0,435.3333333333333
2,57,0,5,8,30.0,25,10,456,18.0,682.0
1,53,0,6,8,28.0,36,6,424,17.0,584.6666666666666
7,58,0,5,7,48.0,25,35,406,19.25,668.25
8,53,1,6,4,46.0,36,48,212,17.75,554.9166666666666
7,79,1,9,4,73.0,81,63,316,24.75,1312.25
